step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
26,0.013000000000000008,0.0005,1.7983498199540175,961.944059645134,1006.7262257789464,1049.6897696326446,0.6726225778946311,-19027.97017743302,3363.1128894731555,24844.884816322294,5,9.38,11
27,0.013500000000000009,0.0005,2.1061427820205525,968.5294617675381,1009.8128553552684,1064.0417177549245,0.9812855355268503,-15735.269116230938,4906.427677634251,32020.858877462273,5,9.38,11
28,0.014000000000000009,0.0005,2.1096608739307934,960.8978334164534,1010.3599800282792,1078.576419099373,1.0359980028279334,-19551.083291773295,5179.9900141396665,39288.209549686486,5,9.42,11
29,0.01450000000000001,0.0005,1.947273528864976,962.3993661198452,1007.5920008305578,1052.6988673473636,0.7592000830557626,-18800.31694007738,3796.0004152788124,26349.4336736818,5,9.18,11
30,0.01500000000000001,0.0005,1.8022758349445762,970.5244019741316,1003.1335426119477,1040.5717236344415,0.31335426119476845,-14737.799012934203,1566.7713059738423,20285.861817220735,5,9.3,11
31,0.01550000000000001,0.0005,1.3923801997344565,941.2502037695682,999.3888029411074,1046.8362571754121,-0.061119705889258844,-29374.8981152159,-305.59852944629455,23418.128587706065,5,9.38,11
32,0.01600000000000001,0.0005,1.4904638989648407,934.1677462901937,997.5607435076189,1042.6933327382026,-0.24392564923809468,-32916.12685490315,-1219.628246190473,21346.666369101287,7,9.46,12
33,0.01650000000000001,0.0005,1.879985126305259,956.081018533128,997.802433243225,1030.322564261628,-0.21975667567752186,-21959.490733435985,-1098.78337838761,15161.282130814016,7,9.6,12
34,0.01700000000000001,0.0005,1.9013806998438445,965.731990614657,999.6051966452901,1040.4238256649137,-0.03948033547098109,-17134.00469267151,-197.40167735490562,20211.912832456845,8,9.78,13
35,0.017500000000000012,0.0005,1.5571944880278137,961.6781287099625,1001.6891794487756,1059.0573455556369,0.16891794487754058,-19160.935645018755,844.5897243877026,29528.67277781843,8,9.78,13
36,0.018000000000000013,0.0005,1.1029335004897005,964.5930932719541,1002.4111668715199,1080.2765746549217,0.24111668715198717,-17703.45336402295,1205.5834357599363,40138.28732746083,8,9.7,13
37,0.018500000000000013,0.0005,1.795427464155586,964.4829038714065,1001.0913113089935,1069.5348262932703,0.1091311308993525,-17758.548064296745,545.6556544967624,34767.41314663514,8,9.8,13
38,0.019000000000000013,0.0005,1.8872555809343603,955.7126466929648,998.6564692050489,1037.4627356047536,-0.13435307949510492,-22143.676653517618,-671.7653974755245,18731.36780237678,7,9.66,12
39,0.019500000000000014,0.0005,1.385902737451927,945.8172881052682,996.6307417248745,1035.7107741885607,-0.33692582751254546,-27091.35594736591,-1684.6291375627272,17855.387094280333,7,9.78,12
40,0.020000000000000014,0.0005,0.977118780329831,927.491877198891,996.0332430775063,1038.0736321046875,-0.3966756922493721,-36254.06140055452,-1983.37846124686,19036.81605234374,7,9.72,12
